timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595034126621,56,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-7,text,true,,8389,735,4,4,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,56,0,0
1595034126631,58,GetLayoutDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-10,text,true,,3452,715,3,3,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,58,0,0
1595034126465,231,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-8,text,true,,212904,741,3,3,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,81,0,0
1595034126701,62,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-8,text,true,,5253,713,3,3,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,62,0,0
1595034126576,216,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-9,text,true,,212904,741,3,3,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,64,0,0
1595034126773,57,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-8,text,true,,8389,735,3,3,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,57,0,0
1595034126803,70,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-9,text,true,,5253,713,2,2,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,70,0,0
1595034126691,227,GetPositionDefinitions- HTTP Request,200,OK,Thread Group - Rob Integration 1-10,text,true,,212904,741,2,2,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,69,0,0
1595034126875,57,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-9,text,true,,8389,735,2,2,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,57,0,0
1595034126923,70,GetLayoutInstanceSets- HTTP Request,200,OK,Thread Group - Rob Integration 1-10,text,true,,5253,713,1,1,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,70,0,0
1595034126996,61,AM_Shift - Today - GetLayoutInstances- HTTP Request,200,OK,Thread Group - Rob Integration 1-10,text,true,,8389,735,1,1,https://proterrauat.edmonton.ca/ROBExternalServices/proterra.asmx?WSDL,61,0,0
